"data","sum"
"2019-04-24 00:00:00",6934579.7071
"2019-04-25 00:00:00",7231427.11279
"2019-04-26 00:00:00",7492712.86856
"2019-04-27 00:00:00",10384601.52812
"2019-04-28 00:00:00",9797750.4477
"2019-04-29 00:00:00",5890451.43934
"2019-04-30 00:00:00",6109006.26104
"2019-05-01 00:00:00",7882972.21721
"2019-05-02 00:00:00",9329308.36922
"2019-05-03 00:00:00",8502031.10532
"2019-05-04 00:00:00",8003886.63249
"2019-05-05 00:00:00",7949171.551
"2019-05-06 00:00:00",5878965.03241
"2019-05-07 00:00:00",6835833.52429
"2019-05-08 00:00:00",7133238.21986
"2019-05-09 00:00:00",7860672.36197
"2019-05-10 00:00:00",9527429.97744
"2019-05-11 00:00:00",9122151.80261
"2019-05-12 00:00:00",8697158.22161
"2019-05-13 00:00:00",5388603.19943
"2019-05-14 00:00:00",5806753.80102
"2019-05-15 00:00:00",5823766.44306
"2019-05-16 00:00:00",6405401.7491
"2019-05-17 00:00:00",6819500.4353
"2019-05-18 00:00:00",10300317.91942
"2019-05-19 00:00:00",10446709.99088
"2019-05-20 00:00:00",5877401.72913
"2019-05-21 00:00:00",6782643.68343
"2019-05-22 00:00:00",7339373.91889
"2019-05-23 00:00:00",7303487.95666
"2019-05-24 00:00:00",7518111.83216
"2019-05-25 00:00:00",10451759.31484
"2019-05-26 00:00:00",9994718.69546
"2019-05-27 00:00:00",6420063.17187
"2019-05-28 00:00:00",7009883.93988
"2019-05-29 00:00:00",7460135.25888
"2019-05-30 00:00:00",7686417.20316
"2019-05-31 00:00:00",7926692.21651
"2019-06-01 00:00:00",11046201.62986
"2019-06-02 00:00:00",11265055.06419
"2019-06-03 00:00:00",7485708.57198
"2019-06-04 00:00:00",7856937.90848
"2019-06-05 00:00:00",7493528.70245
"2019-06-06 00:00:00",8084568.71312
"2019-06-07 00:00:00",8630015.03465
"2019-06-08 00:00:00",11588756.36083
"2019-06-09 00:00:00",10605584.42601
"2019-06-10 00:00:00",6671470.68667
"2019-06-11 00:00:00",7243334.65929
"2019-06-12 00:00:00",11691318.58985
"2019-06-13 00:00:00",6579720.80512
"2019-06-14 00:00:00",6597745.37761
"2019-06-15 00:00:00",9163639.9793
"2019-06-16 00:00:00",8156676.7253
"2019-06-17 00:00:00",5785117.18921
"2019-06-18 00:00:00",5717862.63952
"2019-06-19 00:00:00",5702321.1707
"2019-06-20 00:00:00",17216843.97426
"2019-06-21 00:00:00",13834047.3162
"2019-06-22 00:00:00",15625757.16736
"2019-06-23 00:00:00",14093760.25243
"2019-06-24 00:00:00",9573341.46239
"2019-06-25 00:00:00",9056432.51596
"2019-06-26 00:00:00",8094938.52053
"2019-06-27 00:00:00",8754305.79406
"2019-06-28 00:00:00",9178292.10371
"2019-06-29 00:00:00",13074777.25901
"2019-06-30 00:00:00",11656228.16982
"2019-07-01 00:00:00",7095536.08476
"2019-07-02 00:00:00",7925740.32412
"2019-07-03 00:00:00",7647582.50422
"2019-07-04 00:00:00",9064053.6405
"2019-07-05 00:00:00",9141068.13053
"2019-07-06 00:00:00",11704621.6519
"2019-07-07 00:00:00",10603868.44187
"2019-07-08 00:00:00",6832800.6052
"2019-07-09 00:00:00",7183768.73789
"2019-07-10 00:00:00",7410683.43609
"2019-07-11 00:00:00",7900628.72031
"2019-07-12 00:00:00",7662103.73534
"2019-07-13 00:00:00",10327666.62397
"2019-07-14 00:00:00",8705500.08829
"2019-07-15 00:00:00",6018681.5997
"2019-07-16 00:00:00",6305108.83489
"2019-07-17 00:00:00",6504303.11588
"2019-07-18 00:00:00",6675864.93248
"2019-07-19 00:00:00",6853199.35987
"2019-07-20 00:00:00",9718756.14515
"2019-07-21 00:00:00",8461241.12401
"2019-07-22 00:00:00",5631219.81902
"2019-07-23 00:00:00",6226386.34419
"2019-07-24 00:00:00",6623044.64453
"2019-07-25 00:00:00",6930447.31128
"2019-07-26 00:00:00",6925088.7506
"2019-07-27 00:00:00",8319860.95699
"2019-07-28 00:00:00",8025887.78842
"2019-07-29 00:00:00",6058815.25147
"2019-07-30 00:00:00",5937602.00031
"2019-07-31 00:00:00",6640982.0148
"2019-08-01 00:00:00",6652125.40243
"2019-08-02 00:00:00",7540768.58831
"2019-08-03 00:00:00",10342195.48393
"2019-08-04 00:00:00",9504510.1087
"2019-08-05 00:00:00",6184729.57487
"2019-08-06 00:00:00",7453161.45415
"2019-08-07 00:00:00",7009346.50942
"2019-08-08 00:00:00",7030332.5277
"2019-08-09 00:00:00",7397534.56237
"2019-08-10 00:00:00",10465418.18076
"2019-08-11 00:00:00",10520366.64138
"2019-08-12 00:00:00",6607951.41784
"2019-08-13 00:00:00",6853919.93202
"2019-08-14 00:00:00",7920770.64831
"2019-08-15 00:00:00",7564121.13742
"2019-08-16 00:00:00",9108583.54166
"2019-08-17 00:00:00",11775429.80263
"2019-08-18 00:00:00",10716508.88408
"2019-08-19 00:00:00",7845599.5855
"2019-08-20 00:00:00",7812441.1036
"2019-08-21 00:00:00",8087921.65965
"2019-08-22 00:00:00",8681900.30944
"2019-08-23 00:00:00",9616060.6553
"2019-08-24 00:00:00",12773126.97763
"2019-08-25 00:00:00",12695203.94229
"2019-08-26 00:00:00",8975871.50645
"2019-08-27 00:00:00",9628167.56425
"2019-08-28 00:00:00",10866102.5427
"2019-08-29 00:00:00",9775455.74748
"2019-08-30 00:00:00",10983306.40754
"2019-08-31 00:00:00",15561021.67782
"2019-09-01 00:00:00",14371286.69042
"2019-09-02 00:00:00",7518913.52037
"2019-09-03 00:00:00",8274819.23054
"2019-09-04 00:00:00",7811801.30731
"2019-09-05 00:00:00",8781010.79196
"2019-09-06 00:00:00",8969812.79603
"2019-09-07 00:00:00",13376185.85911
"2019-09-08 00:00:00",12724776.92979
"2019-09-09 00:00:00",7801061.08681
"2019-09-10 00:00:00",8376364.43369
"2019-09-11 00:00:00",9217282.14
"2019-09-12 00:00:00",9366455.15925
"2019-09-13 00:00:00",9611529.04112
"2019-09-14 00:00:00",16349065.70039
"2019-09-15 00:00:00",16330713.64884
"2019-09-16 00:00:00",10166182.38292
"2019-09-17 00:00:00",10261317.34607
"2019-09-18 00:00:00",10530688.03377
"2019-09-19 00:00:00",10929678.88962
"2019-09-20 00:00:00",11726709.74107
"2019-09-21 00:00:00",18424023.36012
"2019-09-22 00:00:00",16052627.76087
"2019-09-23 00:00:00",9349279.49365
"2019-09-24 00:00:00",9631075.76457
"2019-09-25 00:00:00",9683455.71885
"2019-09-26 00:00:00",9720497.38353
"2019-09-27 00:00:00",11054433.22717
"2019-09-28 00:00:00",15999151.76357
"2019-09-29 00:00:00",14401604.91429
"2019-09-30 00:00:00",8541642.01298
"2019-10-01 00:00:00",8046161.92227
"2019-10-02 00:00:00",9432971.63023
"2019-10-03 00:00:00",9102966.93414
"2019-10-04 00:00:00",9821961.17131
"2019-10-05 00:00:00",15351768.06366
"2019-10-06 00:00:00",13827956.96592
"2019-10-07 00:00:00",8720099.95691
"2019-10-08 00:00:00",9713720.15234
"2019-10-09 00:00:00",9011707.41931
"2019-10-10 00:00:00",9339563.99923
"2019-10-11 00:00:00",10036382.01729
"2019-10-12 00:00:00",14752122.33138
"2019-10-13 00:00:00",14130537.97373
"2019-10-14 00:00:00",8283344.46575
"2019-10-15 00:00:00",8905881.30239
"2019-10-16 00:00:00",8813150.67417
"2019-10-17 00:00:00",9454862.45517
"2019-10-18 00:00:00",9873140.67035
"2019-10-19 00:00:00",14664595.10193
"2019-10-20 00:00:00",13498799.44978
"2019-10-21 00:00:00",8149828.99068
"2019-10-22 00:00:00",8209252.80939
"2019-10-23 00:00:00",8389872.29472
"2019-10-24 00:00:00",8885236.55827
"2019-10-25 00:00:00",10009661.27751
"2019-10-26 00:00:00",15308591.48157
"2019-10-27 00:00:00",13115722.92783
